EMD_CODE,total_trips,improve_trips,avg_deviation_ratio,avg_mean_confidence,avg_longest_deviation,avg_longest_deviation_ratio,avg_separation,improve_ratio,improve_ratio_lower_bound,deviation_norm,longest_dev_norm,longest_dev_ratio_norm,needs_attention,severity_score,improve_ratio_pct,improve_ratio_lower_bound_pct,priority_rank,EMD_NAME
41550340,25,24,0.5462930009038915,0.986982056382264,40.68,0.5336291404757256,2.089335159398464,0.96,0.8045552759497747,0.8273682543699195,0.6376623273106765,0.8156057758018971,True,0.8136092694462426,96.0,80.45552759497747,1,미양면
41670370,7,7,0.6090877329641897,0.9948638688177084,52.42857142857143,0.6026671872178013,2.6081138912740056,1.0,0.6456611570247934,0.9331254976501012,0.8283858863666484,0.9261435703069332,True,0.7879969418688137,100.0,64.56611570247934,2,강천면
41220125,5,5,0.6487943343206501,0.9998546554382992,46.6,0.6487943343206501,2.240449931772796,1.0,0.565508505247919,0.9999983158261876,0.7337662218544445,0.9999983988858356,True,0.782753427148983,100.0,56.5508505247919,3,월곡동
41220256,28,27,0.4843337370728713,0.9947057480196532,30.464285714285715,0.4565961395480973,1.9422755921325907,0.9642857142857144,0.8228742388150134,0.7230180848024141,0.4718228123776445,0.692267146908521,True,0.7667959742299352,96.42857142857144,82.28742388150134,4,포승읍
41820250,12,12,0.4511506042465952,0.9968730019517352,37.16666666666666,0.4286976389230792,2.204819026005538,1.0,0.7574992425007574,0.6671319214895864,0.5806276962019313,0.6475984623988331,True,0.7084088901770214,100.0,75.74992425007574,5,가평읍
41670250,5,5,0.5405995863534472,0.9948059040989456,33.6,0.5405995863534472,2.064948930795116,1.0,0.565508505247919,0.8177795546820524,0.5227272642414406,0.8267662554272639,True,0.6934413701140281,100.0,56.5508505247919,6,가남읍
41461259,36,30,0.4835280837606155,0.9840866284581836,35.166666666666664,0.4439365806326462,2.162209722784389,0.8333333333333334,0.6810888526532568,0.7216612245921993,0.5481601642614692,0.6719977478169085,True,0.69144234326767,83.33333333333334,68.10888526532568,7,남사읍
41830380,6,5,0.6108513617469091,0.9964907646985944,63.0,0.5939068381409435,2.6773283585673213,0.8333333333333334,0.4364905634363539,0.9360957550604028,0.999999983766234,0.9121172513169444,True,0.6814974584996867,83.33333333333334,43.64905634363539,8,양동면
41220310,13,12,0.4825077138765348,0.9768631163853204,31.46153846153846,0.4360333549021759,1.9649319282814528,0.9230769230769232,0.6668546607175265,0.7199427443546711,0.4880119800897156,0.6593437811572577,True,0.6812789098966161,92.3076923076923,66.68546607175266,9,진위면
28237103,5,5,0.5817518575243532,0.9978422417170688,35.2,0.422693831352575,2.713846769093162,1.0,0.565508505247919,0.8870871321007188,0.5487012897938103,0.6379856810587765,True,0.6764775284659305,100.0,56.5508505247919,10,산곡동
