EMD_CODE,total_trips,improve_trips,avg_deviation_ratio,avg_mean_confidence,avg_longest_deviation,avg_longest_deviation_ratio,avg_separation,improve_ratio,improve_ratio_lower_bound,deviation_norm,longest_dev_norm,longest_dev_ratio_norm,needs_attention,severity_score,improve_ratio_pct,improve_ratio_lower_bound_pct,priority_rank
11530107,12,11,0.4973119904745782,0.9876146764544379,162.08333333333334,0.3583256903012259,2.367027614940303,0.9166666666666666,0.6461140782014047,0.9691079788042012,0.5387726259900915,0.9386623768012953,True,0.8015219081022217,91.66666666666666,64.61140782014047,1
11470103,19,17,0.48819046723920695,0.9749125522711383,152.52631578947367,0.33258083937785404,1.8452540120747674,0.8947368421052632,0.6860544950515831,0.9460473859955565,0.5019629552735039,0.8640008013462878,True,0.7996416235937162,89.47368421052632,68.6054495051583,2
28237103,5,5,0.49334779663309813,0.977417660791278,109.4,0.35145410206883204,1.3279658204259317,1.0,0.565508505247919,0.9590858961285341,0.3358582603574595,0.9187343684847716,True,0.7542268951594739,100.0,56.5508505247919,3
41590131,5,5,0.5094180155136264,0.949884062842479,273.8,0.31069119480234453,1.370357187687744,1.0,0.565508505247919,0.9997138443765413,0.9690589255267985,0.8005195500847385,True,0.7427723159538695,100.0,56.5508505247919,4
41830380,6,5,0.4392319994163472,0.9810700243099695,281.8333333333333,0.37947516771375017,2.1429738693663,0.8333333333333334,0.4364905634363539,0.8222729612788545,0.9999999961484145,0.9999970999414339,True,0.66492659009012,83.33333333333334,43.64905634363539,5
11545101,15,12,0.40385585503646265,0.9787800186512675,153.33333333333334,0.2779776885422196,1.977386938253933,0.8,0.5481406466534955,0.7328367081845386,0.5050712523877087,0.7056484660257175,True,0.6350510289872529,80.0,54.81406466534955,6
11530106,8,6,0.4506530066017314,0.9748869362214044,138.625,0.2846727083200173,1.905657659329569,0.75,0.40926987910258916,0.8511469979249972,0.44842084818941774,0.7250644154829747,True,0.6049919220253887,75.0,40.926987910258916,7
28200101,12,10,0.3697314453554846,0.9574749212868571,113.25,0.22638714291257192,1.312302766333,0.8333333333333334,0.5519636426153274,0.646565030068665,0.35068686474250793,0.5560328622392472,True,0.5811579027761127,83.33333333333334,55.196364261532736,8
11380114,7,5,0.5095302032009495,0.9497372132560856,133.28571428571428,0.20816331048935374,1.2598807951829334,0.7142857142857143,0.35892909014821267,0.9999974718484826,0.4278561324606168,0.5031826809119081,True,0.5801003228110327,71.42857142857143,35.892909014821264,9
11380103,11,9,0.41094585820831514,0.951322625398917,88.36363636363636,0.16497800464490714,1.3549705411345654,0.8181818181818182,0.5230138624217553,0.7507613104619384,0.25483490605521164,0.377942764765195,True,0.5623238773024981,81.81818181818183,52.30138624217553,10
